placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
RBRG97;2022;TOTAL;HB1320127;20/02/2024;08/11/2024;288715;32242;93637;COQUIMBO;PAPEL;31/03/2023;H
RBRG97;2023;TOTAL;HB1320127;20/02/2024;08/11/2024;210058;10146;48475;VALPARAISO;PAPEL;31/03/2024;H
RBRG97;2024;TOTAL;HB1320127;20/02/2024;08/11/2024;139107;3383;14904;SANTIAGO;PAPEL;31/03/2025;M
RDWR47;2024;TOTAL;;27/11/2024;27/11/2024;34070;99;992;SANTIAGO;PAPEL;30/09/2025;M
RHDW92;2024;2a Cuota;;02/10/2024;08/11/2024;50368;50;744;SANTIAGO;ELECTRONICO;30/09/2025;M
RLWF60;2024;TOTAL;;25/09/2024;15/11/2024;34075;99;992;PUERTO MONTT;ELECTRONICO;30/09/2025;M
RRLS80;2024;TOTAL;;17/10/2024;20/11/2024;34075;99;992;PUERTO MONTT;ELECTRONICO;30/09/2025;H
RTKV21;2024;2a Cuota;SU2350158;02/08/2024;26/11/2024;280134;2917;12063;SANTIAGO;ELECTRONICO;31/03/2025;H
RW1671;2024;TOTAL;;22/11/2024;22/11/2024;204450;594;5955;PUERTO MONTT;PAPEL;30/09/2025;M
RZGS91;2024;TOTAL;;12/11/2024;12/11/2024;34075;99;992;PUERTO MONTT;PAPEL;30/09/2025;H
SBSR37;2024;2a Cuota;SU2290295;02/08/2024;14/11/2024;176162;1834;7586;SANTIAGO;ELECTRONICO;31/03/2025;M
SCHR55;2024;TOTAL;;25/09/2024;14/11/2024;34075;99;992;PUERTO MONTT;ELECTRONICO;30/09/2025;H
SF7436;2024;2a Cuota;;04/10/2024;06/11/2024;67160;66;992;PUERTO MONTT;PAPEL;30/09/2025;M
SN7832;2024;TOTAL;;20/11/2024;20/11/2024;204450;594;5955;MAIPU;PAPEL;30/09/2025;H
SPJL81;2024;TOTAL;CT5430021;06/02/2024;07/11/2024;1922828;46761;206017;RENCA;ELECTRONICO;31/03/2025;M
SR6926;2024;2a Cuota;;04/10/2024;05/11/2024;33580;33;496;VALDIVIA;PAPEL;30/09/2025;H
STSV18;2024;2a Cuota;HB1320126;02/08/2024;06/11/2024;98077;1021;4223;MAFIL;PAPEL;31/03/2025;M
STSW26;2024;2a Cuota;SU1810054;02/08/2024;14/11/2024;299192;3115;12884;SAN JOSE;ELECTRONICO;31/03/2025;H
SWVB63;2024;2a Cuota;SU5450022;02/08/2024;05/11/2024;153422;1597;6607;SANTIAGO;PAPEL;31/03/2025;M
SY7682;2024;TOTAL;SU1660007;06/02/2024;05/11/2024;37227;905;3989;PUERTO MONTT;PAPEL;31/03/2025;H
SZHZ11;2024;TOTAL;;26/11/2024;26/11/2024;116759;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
SZHZ12;2024;TOTAL;;25/11/2024;25/11/2024;38742;0;0;SANTIAGO;PAPEL;31/03/2025;H
SZHZ17;2024;TOTAL;;29/11/2024;29/11/2024;62304;0;0;PUERTO MONTT;ELECTRONICO;31/03/2025;M
TBSH36;2024;TOTAL;;12/11/2024;12/11/2024;34075;99;992;PUERTO MONTT;PAPEL;30/09/2025;H
TCK083;2024;TOTAL;;06/02/2024;04/11/2024;37227;905;3989;SANTIAGO;ELECTRONICO;31/03/2025;M
TCLG78;2024;2a Cuota;;02/08/2024;07/11/2024;184683;1923;7953;PUERTO MONTT;ELECTRONICO;31/03/2025;H
TF2562;2023;TOTAL;CT1320014;26/11/2024;26/11/2024;42840;2069;9886;PUERTO MONTT;PAPEL;31/03/2024;M
TJ7735;2024;2a Cuota;SD1110085;02/08/2024;15/11/2024;17370;181;748;MAIPU;PAPEL;31/03/2025;H
TJVX54;2024;TOTAL;;07/11/2024;07/11/2024;22121;0;0;RENCA;PAPEL;31/05/2025;M
